Fredrik Swartling,,
Furong Yu,,
Guillaume Bergthold,,
Kun-Wei Liu,,
Mark Kieran,,
Nujsaubnusi Vue,,
Pratiti Bandopadhayay,,
Rameen Beroukhim,,
Rhamy Zeid,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Robert Wechsler-Reya,,
Sabran Masoud,,
Samuel Cheshier,,
Sara Bolin,,
Sharareh Gholamin,,
Siddhartha Mitra,,
Simone Schubert,,
Steven Schumacher,,
William Gibson,,
William Weiss,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Yoon-Jae Cho,,
David Margolis,"Archin NM, Margolis DM. Emerging strategies to deplete the HIV reservoir. Curr Opin Infect Dis. 2014;27(1):29-35.",
Amanda Jamieson,,
Felix Rosebrock,,
Isabella Rauch,,
Mathias MŸller,,
Matthias Muhar,,
Sebastian Wienerroither,,
Alexander Schramm,,
Andrea Odersky,,
Angelika Eggert,,
Anneleen Beckers,,
Anton Henssen,,
Frank Speleman,,
Gudrun Fleischhack,,
Johannes Schulte,,
Kristina Althoff,,
Lukas Heukamp,,
Nicolai El-Hindy,,
Simon Sch_fers,,
Theresa Thor,,
Christine Helfer,,
Jianxin You,,
Gutian Xiao,,
Lin-Feng Chen,,
Petra Mlcochova,,
Ravindra Gupta,,
Axel Schambach,,
Azar Sharif,,
Goedele Maertens,,
Magdalena Weidner-Glunde,,
Melanie Galla,,
Michael Rothe,,
Peter Cherepanov,,
Saumya Gupta,,
Thomas Schulz,,
Alec Kimmelman,,
Eiki Kikuchi,,
Esra Akbay,,
Jeremy Tchaicha,,
Julian Carretero,,
Katherine Cheng,,
Kwok-Kin Wong,,
Margaret Soucheray,"Shimamura T, Chen Z, Soucheray M, et al. Efficacy of BET bromodomain inhibition in Kras-mutant non-small cell lung cancer. Clin Cancer Res. 2013;19(22):6183-92.",
Takeshi Shimamura,"Shimamura T, Chen Z, Soucheray M, et al. Efficacy of BET bromodomain inhibition in Kras-mutant non-small cell lung cancer. Clin Cancer Res. 2013;19(22):6183-92.",
Travis Cohoon,,
Yandi Gao,,
Brian Reid,,
Jessica Spiltoir,,
Kim Demos-Davies,,
Maria Cavasin,,
Matthew Stratton,,
A Agathanggelou,,
A Zlatanou,,
C Oldreive,,
D Da Costa,,
E Petermann,,
E Smith,,
G Stewart,,
J Longman,,
P Kearns,,
S Knapp,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
T Perry,,
T Stankovic,,
V Weston,,
Alexandra Debernardi,,
Anouk Emadali,,
Benoit Bernay,,
Carlo Petosa,,
Charles McKenna,,
Christophe Bruley,,
Claire Rome,,
Dominique Leroux,,
Elena Ferri,,
Florence Combes,,
J_r™me Garin,,
Juliana Bruder-Costa,,
Mary Callanan,,
Myriam Ferro,,
Patricia Betton,,
R_my Gressin,,
Saadi Khochbin,,
Samuel Duley,,
Sieme Hamaidia,,
Sophie Rousseaux,,
Alison Slaughter,,
Amit Sharma,,
Elizabeth Coward,,
Frances Male,,
Frederic Bushman,,
Jacques Kessl,,
Li Wu,,
Mamuka Kvaratskhelia,,
Matthew Plumb,,
Monica Roth,,
Nikolozi Shkriabai,,
Nirav Malani,,
Patrick Green,,
Ross Larue,,
B Tolani,,
H Matta,,
P Chaudhary,,
R Gopalakrishnan,,
Alan Holmes,,
Carla Bauer,,
Christopher Denton,,
Christopher Kitson,,
Christopher Stevenson,,
Cory Hogaboam,,
David Budd,,
Gaurav Tyagi,,
Jeremy Deguzman,,
Jonathan Phillips,"Tang X, Peng R, Phillips JE, et al. Assessment of Brd4 inhibition in idiopathic pulmonary fibrosis lung fibroblasts and in vivo models of lung fibrosis. Am J Pathol. 2013;183(2):470-9.",
Julie DeMartino,,
Maria Fuentes,,
Qi Luo,,
Rosario Garrido,,
Ruoqi Peng,"Tang X, Peng R, Phillips JE, et al. Assessment of Brd4 inhibition in idiopathic pulmonary fibrosis lung fibroblasts and in vivo models of lung fibrosis. Am J Pathol. 2013;183(2):470-9.",
Subramanium Apparsundaram,,
Xiaoyan Tang,"Tang X, Peng R, Phillips JE, et al. Assessment of Brd4 inhibition in idiopathic pulmonary fibrosis lung fibroblasts and in vivo models of lung fibrosis. Am J Pathol. 2013;183(2):470-9.",
Giuseppina Caretti,,
James Ryall,,
Raffaella Fittipaldi,,
Valentina Proserpio,,
Angela Gibbs,,
Beth Wilmot,,
Daniel Bottomly,,
Ilsa Coleman,,
Jacob Schwartzman,,
Joshi Alumkal,,
Lina Gao,,
Peter Nelson,,
Richard Kleinschmidt,,
Robert Lisac,,
B Huang,,
H Zhang,,
J Bradner,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
J Qi,"Fiskus W, Sharma S, Qi J, et al. Highly Active Combination of BRD4 Antagonist and Histone Deacetylase Inhibitor against Human Acute Myelogenous Leukemia Cells. Mol Cancer Ther. 2014;13(5):1142-54.",
L-F Chen,,
S Nair,,
X Wu,,
Anup Dey,,
Keiko Ozato,,
Matthew Smith,,
Maxime Debrosse,,
Mira Patel,,
Naoyuki Sarai,,
Tom Heightman,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Tomohiko Tamura,,
Ashley Lau,,
David Orlando,,
Heather Hoke,,
Jakob Lov_n,,
A Huang,,
E Sotomayor,,
J Tao,,
J Wang,,
S Chen-Kiang,,
T Lwin,,
V Marquez,,
W Dalton,,
X Zhang,,
Alexandre Puissant,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Christopher Bassil,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Cyril Benes,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Erin Nekritz,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Gabriela Alexe,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Matthew Garnett,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Patricia Greninger,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Stacey Frumm,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Ultan McDermott,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
William Gustafson,"Puissant A, Frumm SM, Alexe G, et al. Targeting MYCN in neuroblastoma by BET bromodomain inhibition. Cancer Discov. 2013;3(3):308-23.",
Jialiang Wang,,
Kaihua Lu,,
Larry Pierce,,
Reid Thompson,,
Stefan Knapp,"Ferguson FM, Fedorov O, Chaikuad A, et al. Targeting low-druggability bromodomains: fragment based screening and inhibitor design against the BAZ2B bromodomain. J Med Chem. 2013;56(24):10183-7.",
Susanne Muller,,
Xiang Lu,,
Yuanying Gong,,
Yufang Ma,,
Neha Pancholi,,
Daniela Boehm,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Eric Verdin,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Katherine Aull,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Laura Martins,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Leor Weinberger,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Melanie Ott,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Ming-Ming Zhou,,
Pao-Chen Li,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Robert Siliciano,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Roy Dar,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Sebastian Schroeder,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Sifei Xing,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Vicente Planelles,"Boehm D, Calvanese V, Dar RD, et al. BET bromodomain-targeting compounds reactivate HIV from latency via a Tat-independent mechanism. Cell Cycle. 2013;12(3):452-62.",
Hans-Peter Horny,,
Harald Herrmann,,
Junwei Shi,,
Karoline Gleixner,,
Katharina Blatt,,
Leonhard MŸllauer,,
Peter Valent,,
Sabine Cerny-Reiterer,,
Michelle Zinchenko,,
Christopher Buck,,
Jing Jiao,,
Jing Li,,
Rachel Schowalter,,
Carine Lefèvre,,
Leila Maouche-Chr_tien,,
Marine Granger,,
Olivier Goupille,,
Philippe Leboulch,,
Stany Chr_tien,,
Suthat Fucharoen,,
Tipparat Penglong,,
Harold Varmus,,
Kreshnik Zejnullahu,,
Jia Guo,,
Qiang Zhou,"Lu H, Li Z, Xue Y, et al. AFF1 is a ubiquitous P-TEFb partner to enable Tat extraction of P-TEFb from 7SK snRNP and formation of SECs for HIV transactivation. Proc Natl Acad Sci USA. 2014;111(1):E15-24.",
Yuntao Wu,,
Calvin Sum,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
Celine Prakash,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
Henry Yang,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
Jeffrey Kwok,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
Keh-Chuang Chin,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
Nina Thiessen,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
Steven Jones,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
Sven Pettersson,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
Weishi Zhang,"Zhang W, Prakash C, Sum C, et al. Bromodomain-containing protein 4 (BRD4) regulates RNA polymerase II serine 2 phosphorylation in human CD4+ T cells. J Biol Chem. 2012;287(51):43137-55.",
Yinghui Li,,
David Grimes,,
Debra Wolgemuth,,
Abraham Brass,,
Bruce Walker,,
Christopher Chin,,
Gaurav Gaiha,,
Geng Gao,,
Hongjing Qu,,
Jian Zhu,,
Sinu John,,
Stephen Elledge,,
B Peterlin,,
Koen Bartholomeeusen,,
Koh Fujinaga,,
David Weinstock,,
Liat Bird,,
Nadja Kopp,,
Ronald Paranal,,
Julio Agno,,
Lang Ma,,
Madeleine Lemieux,,
Martin Matzuk,?,"Martin MP, Olesen SH, Georg GI, Schönbrunn E. Cyclin-dependent kinase inhibitor dinaciclib interacts with the acetyl-lysine recognition site of bromodomains. ACS Chem Biol. 2013;8(11):2360-5."
Panagis Filippakopoulos,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Qinglei Li,,
Richard Yu,,
Sarah Picaud,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Camellia Banerjee,"Banerjee C, Archin N, Michaels D, et al. BET bromodomain inhibition as a novel strategy for reactivation of HIV-1. J Leukoc Biol. 2012;92(6):1147-54.",
Daniel Michaels,"Banerjee C, Archin N, Michaels D, et al. BET bromodomain inhibition as a novel strategy for reactivation of HIV-1. J Leukoc Biol. 2012;92(6):1147-54.",
Monty Montano,"Banerjee C, Archin N, Michaels D, et al. BET bromodomain inhibition as a novel strategy for reactivation of HIV-1. J Leukoc Biol. 2012;92(6):1147-54.",
Nancie Archin,"Archin NM, Margolis DM. Emerging strategies to deplete the HIV reservoir. Curr Opin Infect Dis. 2014;27(1):29-35.",
Helen Webb,,
Michelle West,,
Andrew Conery,,
Barbara Bryant,,
Deanna Mele,,
Jennifer Mertz,,
Louise Bergeron,,
Peter Sandy,,
Robert Sims,,
Anna Schinzel,,
Efstathios Kastritis,,
Ghayas Issa,,
Hannah Jacobs,,
Irene Ghobrial,,
Jake Delmore,,
Kenneth Anderson,,
Marta Chesi,,
P Bergsagel,,
Paul Richardson,,
Timothy Gilpatrick,,
Timothy Heffernan,,
Agustin Chicas,,
Christopher Johns,,
Daniel Magoon,,
Edward Sison,,
Eric Wang,,
James Mulloy,,
Mark Wunderlich,,
Meredith Taylor,,
Patrick Brown,,
John Denu,,
Amanda Christie,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Brian Schwartz,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Christopher French,,
Elizabeth Morse,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Ildiko Felletar,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Michael Cameron,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Nathan West,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Nicholas La Thangue,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Olaf Wiest,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Oleg Fedorov,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Shonagh Munro,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Tracey Keates,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Tyler Hickman,,
William Smith,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
Yao Shen,"Filippakopoulos P, Qi J, Picaud S, et al. Selective inhibition of BET bromodomains. Nature. 2010;468(7327):1067-73.",
A Roque,,
Alice Pereira,,
Ana Pina,,
Christopher Lowe,,
Cl‡udia Fernandes,,
Graziella El Khoury,,
M‡rcia Guilherme,,
Ana Teixeira,,
Laura Barreiro,,
Manuel Carrondo,"Teixeira AP, Duarte TM, Carrondo MJ, Alves PM. Synchronous fluorescence spectroscopy as a novel tool to enable PAT applications in bioprocesses. Biotechnol Bioeng. 2011;108(8):1852-61.",
Nuno Carinhas,,
Paula Alves,"Silva AC, Yami M, Libeau G, Carrondo MJ, Alves PM. Testing a new formulation for Peste des Petits Ruminants vaccine in Ethiopia. Vaccine. 2014;32(24):2878-81.",
C Rodriques,,
C Silva Pereira,,
C Visagie,,
J Dijksterhuis,,
J Houbraken,,
K Jacobs,,
K Seifert,,
Cristina Peixoto,,
Duarte Martins,,
Jos_ Mota,,
Louis Villain,,
Ancy Thomas,,
Andr_ Almeida,,
Chris Oldham,,
Duane Harland,,
Jeffrey Plowman,,
Johan Greeff,,
John Milton,,
Stefan Clerens,,
Tanya Kilminster,,
Andre de Almeida,"Marcelino I, De almeida AM, Brito C, et al. Proteomic analyses of Ehrlichia ruminantium highlight differential expression of MAP1-family proteins. Vet Microbiol. 2012;156(3-4):305-14.",
Anna Bassols,,
Ana Silva,"Silva AC, Yami M, Libeau G, Carrondo MJ, Alves PM. Testing a new formulation for Peste des Petits Ruminants vaccine in Ethiopia. Vaccine. 2014;32(24):2878-81.",
Geneviève Libeau,"Silva AC, Yami M, Libeau G, Carrondo MJ, Alves PM. Testing a new formulation for Peste des Petits Ruminants vaccine in Ethiopia. Vaccine. 2014;32(24):2878-81.",
Martha Yami,"Silva AC, Yami M, Libeau G, Carrondo MJ, Alves PM. Testing a new formulation for Peste des Petits Ruminants vaccine in Ethiopia. Vaccine. 2014;32(24):2878-81.",
Andrea Carf“,,
Claudio Ciferri,,
Marco Patrone,,
Marcos Sousa,,
Al’cia Cort_s-Pallero,,
Ana Delgado-Rodr’guez,,
Ana Dourado,,
Angela Prazeres,,
Claudia S‡nchez,,
Maria Barreto Crespo,"Pereira VJ, Marques R, Marques M, Benoliel MJ, Barreto crespo MT. Free chlorine inactivation of fungi in drinking water sources. Water Res. 2013;47(2):517-23.",
N‡dia Castanheira,,
Nuno Borges,,
Ana Roque,,
Fabiana Fernandes,,
Jo‹o Vidigal,,
Mafalda Dias,,
Ad_lia Varela,,
Cristina Silva Pereira,,
Helga Garcia,,
Isabel Martins,,
Jenny Renaut,,
Lu’s Rebelo,,
Maria Galceran,,
Oscar Nœ–ez,,
Camilla Bernasconi,,
Emanuela Testai,,
Eva-Maria Collnot,,
Frederic Bois,,
Gabriele KŸsters,,
George Loizou,,
Harvey Clewell,,
Iwona Wilk-Zasadna,,
Jos Bessems,,
Jos_-Manuel Zald’var-Comenges,,
Kannan Krishnan,,
Klaus Schr_der,,
Liesbeth Geraets,,
Lucian Farcal,,
Nynke Kramer,,
Olavi Pelkonen,,
Sandra Coecke,,
Sofia Leite,,
Ursula Gundert-Remy,,
Alvaro Lopes,"Lopes A, Silva N, Bronze MR, Ferreira J, Morais J. Analysis of cocaine and nicotine metabolites in wastewater by liquid chromatography-tandem mass spectrometry. Cross abuse index patterns on a major community. Sci Total Environ. 2014;487:673-80.",
Jo‹o Ferreira,"Lopes A, Silva N, Bronze MR, Ferreira J, Morais J. Analysis of cocaine and nicotine metabolites in wastewater by liquid chromatography-tandem mass spectrometry. Cross abuse index patterns on a major community. Sci Total Environ. 2014;487:673-80.",
Jos_ Morais,"Lopes A, Silva N, Bronze MR, Ferreira J, Morais J. Analysis of cocaine and nicotine metabolites in wastewater by liquid chromatography-tandem mass spectrometry. Cross abuse index patterns on a major community. Sci Total Environ. 2014;487:673-80.",
M Bronze,"Lopes A, Silva N, Bronze MR, Ferreira J, Morais J. Analysis of cocaine and nicotine metabolites in wastewater by liquid chromatography-tandem mass spectrometry. Cross abuse index patterns on a major community. Sci Total Environ. 2014;487:673-80.",
Cl‡udia Andrade,,
Cl‡udia Bispo,,
A Coroadinha,,
A Formas-Oliveira,,
A Rodrigues,,
P Alves,,
V Bandeira,,
Diego Hartmann,,
